id,query,response,responded_at,user_id
540,i have received a mail that my registered event was cancelled,"sorry to hear that, ajay dhayanand! 😞 unfortunately, cancellations do happen, and it's essential to respect the decision. 💔 however, there are plenty of other exciting events happening at yugam! 🎉 would you like me to recommend some top events that might interest you? 🤔",2024-03-20 18:24:02.590 +0530,3489
582,pro show ticket details,"😊 hope you are doing great! 😊 yugam is an amazing event with many exciting pro shows, including ""masala coffee band"" and ""sean roldan""! 🎉 these shows are definitely worth checking out! 😍 unfortunately, i don't have access to the ticket details right now, but you can check the yugam website or registration desk for more information. 🤔 have a great day! 😊",2024-03-20 21:28:48.525 +0530,9503
612,will i be able to get refund?,"i'm just an ai, i cannot provide refunds or exchange tickets. please check the fest's policy for more information.",2024-03-20 22:35:03.855 +0530,6009
702,tickets not received,"i'm so sorry to hear that you haven't received your tickets yet! 😞 don't worry, you can still attend the events and workshops at yugam. just make sure to show up at the registration desk with your registration confirmation email or sms, and you'll get your entry pass/id card. if you have any other questions or concerns, feel free to ask! 😊",2024-03-21 09:32:36.370 +0530,8253
761,when will i get my certificates,"i don't have access to your personal information or certificates. however, i can suggest that you reach out to the organizers of yugam for any queries or concerns regarding your certificates. they will be able to assist you better. 😊",2024-03-21 17:38:13.352 +0530,10318
765,i didn’t get my certificates,"i don't have access to your personal information or certificates. however, i can recommend some top-notch events and workshops in yugam that might interest you! 🎉 would you like me to suggest a few? 🤔",2024-03-21 18:26:39.455 +0530,9446
770,i have still not received participation certificate,"i don't have access to your personal information or yugam's database, so i can't provide you with your participation certificate. however, i can suggest some ways to check if you have received it or not.

1. check your email: sometimes, yugam sends participation certificates via email. check your inbox and spam folder to see if you have received one.
2. log in to your yugam account: if you have created an account on yugam, you can log in and check your certificate status.
3. contact yugam support: if you are unable to find your certificate, you can reach out to yugam's support team for assistance.

remember, it's important to keep your personal information and login credentials safe and secure. if you have any concerns, feel free to ask! 😊",2024-03-21 19:45:44.229 +0530,4715
786,ticket not yet received,"i don't have access to your personal information, but i can help you with any questions you may have about yugam! 🎉 are you excited for the fest? 🤔 what events or workshops are you interested in attending? 🤔 let me know if you need any help finding the best ones! 😊",2024-03-21 21:11:16.980 +0530,8253
821,i payed the amount and i received all event general fee,"i apologize, but i'm a large language model, i cannot provide you with the registration details or confirmation of the amount paid for the events. however, i can suggest that you check your email or the registration portal for the confirmation of your registration and payment details. additionally, you can reach out to the yugam team or the event organizers for any clarification or assistance.",2024-03-22 00:22:14.206 +0530,11698
845,we have participated in line follower robot competition yesterday but we didn't receive the certificate,"i apologize for any inconvenience caused. unfortunately, i don't have access to the certificate distribution details. however, you can reach out to the event organizers directly to inquire about your certificate. they will be able to assist you with the next steps. good luck!",2024-03-22 16:13:05.798 +0530,3602
940,i still havent received my certificate for digitrix,"i apologize for any confusion, suresh. unfortunately, i don't have access to your personal information or certificate status. please reach out to the yugam team or check your registered email for any updates on your certificate. remember, yugam is a great platform to explore your interests and skills, and there are many exciting events and workshops lined up for you!",2024-03-23 09:53:32.026 +0530,7785
941,still i didn't get my certificate?,i don't have access to your personal information or yugam's certificate issuance process. please check with the yugam organizers or contact their support team for assistance. they'll be able to help you with your query. 😊,2024-03-23 10:01:37.421 +0530,4550
986,when will i get the e certificate?,"including technical competitions, cultural showcases, and workshops. the events are happening from march 14th to 23rd. unfortunately, i don't have access to the exact timeline for the e-certificate distribution. please check with the yugam team or organizers for more information. good luck! 😊",2024-03-23 20:15:07.554 +0530,8719
1001,when i will get my certificate for participating in paper presentation,"congratulations on participating in the "" #yug-e-116 yugam paper presentation "" event! your hard work and dedication are truly commendable. unfortunately, i don't have access to the certificate distribution schedule. please reach out to the event organizers for more information on when you can expect to receive your certificate. keep up the great work! 🎉",2024-03-23 22:22:28.652 +0530,2897
1038,when do i get my certificate,i don't have access to your personal information or yugam's certificate issuance process. please reach out to the yugam organizers or check their website for more details on certificate distribution. 😊,2024-03-24 18:49:49.393 +0530,9211
1044,when the certificates for events will be received date,"thank you for your interest in yugam! 
     unfortunately, i don't have access to the specific information you requested. the certificates for events are typically provided after the event has concluded, and the details of when and how they will be received are usually communicated through the event organizer or registration platform.
     i recommend keeping an eye on your email and any other communication channels provided by the event organizer for updates on the certificates.
     have a great day!",2024-03-24 19:33:18.119 +0530,9323
1057,when i will get my certificates,"i don't have access to your personal information or yugam's certificate distribution process. however, i can suggest that you keep an eye on yugam's official website or social media handles for any updates on certificate distribution. you can also reach out to yugam's organizers directly for more information. 😊",2024-03-24 21:07:15.014 +0530,9403
1097,when  i willk get my certificate,"i don't have access to personal information or specific details about your certificate. however, i can suggest that you reach out to the yugam organizers or check their website for more information on certificate distribution. they should be able to provide you with the most up-to-date information on this topic.",2024-03-25 15:04:09.730 +0530,4968
1107,still now i didn't received my certificates,"i don't have access to your personal information or certificates. however, i can recommend some exciting events and workshops happening in yugam! 🎉 would you like me to suggest a few? 🤔",2024-03-25 16:54:37.934 +0530,7883
